,Artist ID,Followers,Genres,Artist Popularity
0,5cM1PvItlR21WUyBnsdMcn,166318,"['contemporary jazz', 'contemporary post-bop', 'indie jazz', 'indie soul', 'jazz', 'jazz fusion', 'neo r&b', 'neo soul']",58
1,7aA592KWirLsnfb5ulGWvU,474264,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",69
2,2pLvihTVAElhBCw7HcrIUC,51161,['uk alternative hip hop'],46
3,1S5jf5XWhQTMjGZQxCH0AJ,8073,['indie jazz'],43
4,1TsG4AumsMt1Tcq2nHpov9,101004,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']",54
5,5HJ2kX5UTwN4Ns8fB5Rn1I,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
6,43EA0mCA9Iiw33kdPtMa1q,19997,"['djent', 'instrumental rock', 'one-person band']",44
7,4MaF9QDZ6zGTLM83lwyDRU,1522,[],22
8,5bTaUOrBY8IWCwW12jCU5U,2974,"['deep idm', 'drill and bass', 'intelligent dance music']",27
9,5zDUidkda0GoYHu2vMr3G2,18947,"['british contemporary classical', 'chamber psych', 'electra', 'etherpop', 'scottish electronic']",45
10,2gPLG9mGaU67woC5L0luYA,39435,"['alternative hip hop', 'escape room', 'phonk', 'underground hip hop']",51
11,66CXWjxzNUsdJxJ2JdwvnR,38541742,"['dance pop', 'pop', 'post-teen pop']",96
12,16rCzZOMQX7P8Kmn5YKexI,269435,"['alternative r&b', 'indie anthem-folk', 'indie r&b', 'indie soul', 'pop', 'uk contemporary r&b']",73
13,56oDRnqbIiwx4mymNEv7dS,1524964,"['escape room', 'minnesota hip hop', 'pop', 'pop rap', 'trap queen']",88
14,7kxfOT7GGnh3TGhjF0CLvu,593,[],12
15,1uvnDqn7UvVy6orSq1E2YF,23576,"['livetronica', 'progressive jazz fusion']",39
16,1srvW9AP2k4GLhS3hlC3IN,8810,"['contemporary jazz', 'indie jazz', 'uk contemporary jazz']",39
17,7IPimpFl8df3dGRlhuKKpm,2158,['modern funk'],34
18,4Sl3fpSDeo9cMb3ouKm0rV,2396,['indie jazz'],31
19,7eZXdqPC0XYtALWzaVjGLh,3332,"['compositional ambient', 'contemporary classical', 'minimal']",35
20,38l2utoHhvn7dvWk02FJRa,18,[],12
21,35U9lQaRWSQISxQAB94Meo,755536,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",71
22,1eEfMU2AhEo7XnKgL7c304,1109608,"['adult standards', 'folk', 'mellow gold', 'soft rock']",73
23,2CH9bD5RtnDcm9O23JByN7,5048,"['contemporary jazz', 'jazz guitar']",27
24,6po5RkbjwlLugrHSrLxgEv,28,[],1
25,1TEhUu0FjL0mIBiZPH90PI,139,[],14
26,429bUEZe2Hq5QJvO2CmhLn,4425,"['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'free improvisation', 'free jazz', 'jazz saxophone']",26
27,4jXKRg7GZPm3mKGgKwUEco,7476,[],41
28,0VuoStDUmutuXoPuTnYeG1,3717,['dutch indie'],27
29,06knYh538h5SI7OAEF8ek3,21969,['uk alternative pop'],61
30,6mKqFxGMS5TGDZI3XkT5Rt,232046,"['alternative americana', 'art pop', 'chamber pop', 'dream pop', 'electropop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'singer-songwriter']",66
31,6nFBonVf7Lqaj05R0v5VGJ,77954,"['folk', 'folk-pop', 'indie folk', 'lilith', 'new americana', 'progressive bluegrass', 'stomp and holler']",57
32,0N41KJ4H6bkPAm2tx7VS8C,40114,"['alternative r&b', 'escape room', 'indie r&b', 'indie soul']",59
33,3nEL9Ylglfn3CY6CbWZx11,1917,"['deep idm', 'drill and bass', 'intelligent dance music']",13
34,586OHhbBhXRpOY8LezbUcK,6439,['seattle indie'],34
35,6jlWj6y00bMQt8XoKuCjyZ,107778,"['funk', 'indie soul', 'neo r&b', 'neo soul', 'nyc pop', 'r&b', 'soul', 'urban contemporary']",56
36,4RnBFZRiMLRyZy0AzzTg2C,595653,"['alternative hip hop', 'escape room', 'hip hop']",68
37,1111ivBPyEwa1mdOB2SA0X,577,['arab electronic'],19
38,5olDKSsFhhmwh8UCWwKtpq,168013,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano']",56
39,0ezquZkJscWDhtBZwptcKT,4423,"['arab alternative', 'jordanian pop']",29
40,74KPeP60dRLSAAk7sFtWTC,14359,"['avant-garde metal', 'funk metal', 'jazz metal']",25
41,4CX6yOoTFQeiwL5yxuFuIG,2280,[],28
