,Primary Artist,Track Name,Popularity,Added At,Release Date,Artist ID,Track ID,Playlist Date - Release Date,Days Until Discovery,Followers,Genres,Artist Popularity
0,Robert Glasper,Endangered Black Woman [Feat. Andra Day & Staceyann Chin],40,2019-10-03T19:16:47Z,2019-10-03,5cM1PvItlR21WUyBnsdMcn,6HMZPGvQxzFFhyMJLjNQnt,0 days 19:16:47.000000000,0.0,166318,"['contemporary jazz', 'contemporary post-bop', 'indie jazz', 'indie soul', 'jazz', 'jazz fusion', 'neo r&b', 'neo soul']",58
1,Robert Glasper,Let Me In [Feat. Mick Jenkins],41,2019-10-03T18:55:23Z,2019-10-03,5cM1PvItlR21WUyBnsdMcn,2y91djz91Yeh9rnTRRSuL1,0 days 18:55:23.000000000,0.0,166318,"['contemporary jazz', 'contemporary post-bop', 'indie jazz', 'indie soul', 'jazz', 'jazz fusion', 'neo r&b', 'neo soul']",58
2,Robert Glasper,"All I Do [Feat. SiR, Bridget Kelly, Song Bird]",43,2019-10-03T19:32:28Z,2019-10-03,5cM1PvItlR21WUyBnsdMcn,3UBsobFiVXbqZ1hFU16gBI,0 days 19:32:28.000000000,0.0,166318,"['contemporary jazz', 'contemporary post-bop', 'indie jazz', 'indie soul', 'jazz', 'jazz fusion', 'neo r&b', 'neo soul']",58
3,Robert Glasper,Y'Outta Praise Him,28,2017-09-06T00:16:17Z,2007-01-01,5cM1PvItlR21WUyBnsdMcn,3ktd4dZe875cnP0pzK7AWr,3901 days 00:16:17.000000000,3901.0,166318,"['contemporary jazz', 'contemporary post-bop', 'indie jazz', 'indie soul', 'jazz', 'jazz fusion', 'neo r&b', 'neo soul']",58
4,Robert Glasper,G&B,29,2013-08-03T21:52:26Z,2007-01-01,5cM1PvItlR21WUyBnsdMcn,5P22GrIprYmnFZoR3P6142,2406 days 21:52:26.000000000,2406.0,166318,"['contemporary jazz', 'contemporary post-bop', 'indie jazz', 'indie soul', 'jazz', 'jazz fusion', 'neo r&b', 'neo soul']",58
5,Robert Glasper,Twice,34,2013-08-09T11:14:12Z,2012-01-01,5cM1PvItlR21WUyBnsdMcn,0kLj7mr5DcHRxPkGgtrB7W,586 days 11:14:12.000000000,586.0,166318,"['contemporary jazz', 'contemporary post-bop', 'indie jazz', 'indie soul', 'jazz', 'jazz fusion', 'neo r&b', 'neo soul']",58
6,Robert Glasper,North Portland,23,2012-06-09T01:11:21Z,2005-01-01,5cM1PvItlR21WUyBnsdMcn,0CBnJuDk0v3RAYkG4OgXyB,2716 days 01:11:21.000000000,2716.0,166318,"['contemporary jazz', 'contemporary post-bop', 'indie jazz', 'indie soul', 'jazz', 'jazz fusion', 'neo r&b', 'neo soul']",58
7,Danny Brown,3 Tearz,49,2019-10-02T12:28:42Z,2019-10-01,7aA592KWirLsnfb5ulGWvU,1BMdBu6UsVCyYZ8BvTdBtw,1 days 12:28:42.000000000,1.0,474264,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",69
8,Danny Brown,Negro Spiritual,55,2019-10-05T16:05:19Z,2019-10-04,7aA592KWirLsnfb5ulGWvU,7gWp2hHJYtnLLvIw9ltH0V,1 days 16:05:19.000000000,1.0,474264,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",69
9,Danny Brown,Dirty Laundry,52,2019-09-06T13:17:57Z,2019-09-05,7aA592KWirLsnfb5ulGWvU,0iAI4Nv50sU0LGRKmF555Z,1 days 13:17:57.000000000,1.0,474264,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",69
10,Danny Brown,Best Life,57,2019-09-23T18:00:38Z,2019-09-17,7aA592KWirLsnfb5ulGWvU,7Eh6MPpRNIFzaFZywrHDMD,6 days 18:00:38.000000000,6.0,474264,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",69
11,Danny Brown,Tell Me What I Don't Know,48,2016-10-03T21:10:02Z,2016-09-27,7aA592KWirLsnfb5ulGWvU,3yM8iyra4fkuyf0H5RFHuE,6 days 21:10:02.000000000,6.0,474264,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",69
12,Danny Brown,Ain't it Funny,57,2016-10-18T23:03:39Z,2016-09-27,7aA592KWirLsnfb5ulGWvU,7ItFoQDmQIh3MAPsxiP6Vt,21 days 23:03:39.000000000,21.0,474264,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",69
13,Danny Brown,Nosebleeds,0,2015-03-02T07:12:44Z,2011,7aA592KWirLsnfb5ulGWvU,67cGSvq1392rNuWbesgwQN,1521 days 07:12:44.000000000,1521.0,474264,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",69
14,Archy Marshall,Arise Dear Brother,42,2019-10-03T17:33:27Z,2015-12-10,2pLvihTVAElhBCw7HcrIUC,26d3GcODYXIwjxspmIWHW0,1393 days 17:33:27.000000000,1393.0,51161,['uk alternative hip hop'],46
15,The Midnight Hour,Harmony,35,2019-10-18T04:56:37Z,2019-10-18,1S5jf5XWhQTMjGZQxCH0AJ,4muWswJjEaNdXZS6bnNucA,0 days 04:56:37.000000000,0.0,8073,['indie jazz'],43
16,The Midnight Hour,Gate 54,15,2018-06-27T03:37:13Z,2018-06-08,1S5jf5XWhQTMjGZQxCH0AJ,22cZmT865EbhPjkKv5foHs,19 days 03:37:13.000000000,19.0,8073,['indie jazz'],43
17,The Midnight Hour,Questions,14,2018-05-18T18:45:06Z,2018-05-18,1S5jf5XWhQTMjGZQxCH0AJ,5uEOO6mRqPpeuEYrPBKHLV,0 days 18:45:06.000000000,0.0,8073,['indie jazz'],43
18,"Lee ""Scratch"" Perry",Magik,20,2019-10-03T17:41:57Z,2019-10-02,1TsG4AumsMt1Tcq2nHpov9,6LVCbj6ha72ytZbhzaiWId,1 days 17:41:57.000000000,1.0,101004,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']",54
19,clipping.,Blood of the Fang - Single Edit,49,2019-10-03T17:10:55Z,2019-10-03,5HJ2kX5UTwN4Ns8fB5Rn1I,3lJ3qitpcQ7nh2UhYmImYo,0 days 17:10:55.000000000,0.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
20,clipping.,Attunement,41,2019-10-18T15:06:26Z,2019-10-18,5HJ2kX5UTwN4Ns8fB5Rn1I,0D97DewVHlQLRxGOXVmr7i,0 days 15:06:26.000000000,0.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
21,clipping.,La Mala Ordina - Single Edit,34,2019-09-12T16:59:56Z,2019-09-12,5HJ2kX5UTwN4Ns8fB5Rn1I,20lyzx1Leis61sFqIBflXV,0 days 16:59:56.000000000,0.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
22,clipping.,Nothing is Safe,44,2019-08-14T14:24:38Z,2019-08-14,5HJ2kX5UTwN4Ns8fB5Rn1I,27c82C78XMsMcoCeeVAAF6,0 days 14:24:38.000000000,0.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
23,clipping.,Block,25,2018-05-25T07:38:23Z,2018-05-25,5HJ2kX5UTwN4Ns8fB5Rn1I,5OBXWhJLCY95JFaIiLUXHq,0 days 07:38:23.000000000,0.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
24,clipping.,The Deep,32,2017-08-18T23:16:58Z,2017-08-18,5HJ2kX5UTwN4Ns8fB5Rn1I,6LHGNimbsz8tabfUDSujvH,0 days 23:16:58.000000000,0.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
25,clipping.,A Better Place,30,2016-09-09T16:18:45Z,2016-09-09,5HJ2kX5UTwN4Ns8fB5Rn1I,07EVxe0qrLEQmsu3wnLDri,0 days 16:18:45.000000000,0.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
26,clipping.,True Believer,31,2016-09-09T21:28:53Z,2016-09-09,5HJ2kX5UTwN4Ns8fB5Rn1I,7qqrY1OIAB7eyt8yF0njAk,0 days 21:28:53.000000000,0.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
27,clipping.,Air 'Em Out,0,2016-08-24T16:37:22Z,2016-08-24,5HJ2kX5UTwN4Ns8fB5Rn1I,0MYYAtS4lZ4g4yqlPKUE6B,0 days 16:37:22.000000000,0.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
28,clipping.,Baby Don't Sleep,0,2016-07-27T18:36:03Z,2016-07-27,5HJ2kX5UTwN4Ns8fB5Rn1I,3av47Yi7hfJBgRsKCpAR4T,0 days 18:36:03.000000000,0.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
29,clipping.,Wriggle,41,2016-06-15T00:04:36Z,2016-06-14,5HJ2kX5UTwN4Ns8fB5Rn1I,5HkIMCxKCqLZL2LUBwcTRo,1 days 00:04:36.000000000,1.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
30,clipping.,Hot Fuck No Love,31,2016-06-15T00:04:42Z,2016-06-14,5HJ2kX5UTwN4Ns8fB5Rn1I,0cUxMaj0QPfda7b7ndeaX1,1 days 00:04:42.000000000,1.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
31,clipping.,Dominoes,31,2016-05-17T01:36:51Z,2014-06-10,5HJ2kX5UTwN4Ns8fB5Rn1I,0hhEwEG0l4dtdKS4DYcypU,707 days 01:36:51.000000000,707.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
32,clipping.,story,29,2016-01-28T18:46:45Z,2014-02-11,5HJ2kX5UTwN4Ns8fB5Rn1I,5L1mL504PaSuqsh8oxz4sB,716 days 18:46:45.000000000,716.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
33,clipping.,intro,24,2014-11-03T21:38:21Z,2014-02-11,5HJ2kX5UTwN4Ns8fB5Rn1I,2xY5eU4o0WuZCx9JR1qBk9,265 days 21:38:21.000000000,265.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
34,clipping.,Intro,34,2014-10-03T20:54:28Z,2014-06-10,5HJ2kX5UTwN4Ns8fB5Rn1I,6vJJEVitPSF6gahvqF3NKe,115 days 20:54:28.000000000,115.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
35,clipping.,Inside Out,38,2014-10-19T23:38:39Z,2014-06-10,5HJ2kX5UTwN4Ns8fB5Rn1I,4iv5cQu0DwcMWm2nxx4l1P,131 days 23:38:39.000000000,131.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
36,clipping.,Taking Off,36,2014-10-19T23:39:31Z,2014-06-10,5HJ2kX5UTwN4Ns8fB5Rn1I,0L23cs3wAArpWTZTpLISmd,131 days 23:39:31.000000000,131.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
37,clipping.,Story 2,47,2014-09-28T17:48:44Z,2014-06-10,5HJ2kX5UTwN4Ns8fB5Rn1I,4pSbdUWj7FrZRjgxQOISIL,110 days 17:48:44.000000000,110.0,90637,"['alternative hip hop', 'escape room', 'experimental hip hop']",57
38,Jakub Zytecki,"How to, Alice D",29,2019-10-15T17:54:30Z,2019-10-03,43EA0mCA9Iiw33kdPtMa1q,1L04RYGNSBmdhRHnObqZXo,12 days 17:54:30.000000000,12.0,19997,"['djent', 'instrumental rock', 'one-person band']",44
39,Jakub Zytecki,Feather Bed,26,2017-08-30T02:51:17Z,2017-07-18,43EA0mCA9Iiw33kdPtMa1q,4rJSjwwmTpRVueRSq4UL80,43 days 02:51:17.000000000,43.0,19997,"['djent', 'instrumental rock', 'one-person band']",44
40,Zoë Blade,Winter,14,2019-10-11T22:14:39Z,2019-10-10,4MaF9QDZ6zGTLM83lwyDRU,5LJmsfxm1Tp63ReJodfzJd,1 days 22:14:39.000000000,1.0,1522,[],22
41,Datassette,To the Scullery,15,2019-10-04T19:57:02Z,2019-10-04,5bTaUOrBY8IWCwW12jCU5U,4Haio1ks6A2FoQdPWGUhoF,0 days 19:57:02.000000000,0.0,2974,"['deep idm', 'drill and bass', 'intelligent dance music']",27
42,Datassette,Shooz Who,33,2019-10-18T04:58:58Z,2019-10-18,5bTaUOrBY8IWCwW12jCU5U,1ng9sA5GYW2qNlC6NzX0Du,0 days 04:58:58.000000000,0.0,2974,"['deep idm', 'drill and bass', 'intelligent dance music']",27
43,Datassette,Mannequin on the Run,18,2018-02-08T20:08:42Z,2017-08-21,5bTaUOrBY8IWCwW12jCU5U,40eCxw6ykNjcc0Pr6SV4Q7,171 days 20:08:42.000000000,171.0,2974,"['deep idm', 'drill and bass', 'intelligent dance music']",27
44,Datassette,Power Ballad,8,2016-04-09T23:57:07Z,2013-09-25,5bTaUOrBY8IWCwW12jCU5U,4yWdLoSlr4zEZkAONpNfRs,927 days 23:57:07.000000000,927.0,2974,"['deep idm', 'drill and bass', 'intelligent dance music']",27
45,Anna Meredith,Inhale Exhale,23,2019-10-08T15:48:52Z,2019-10-04,5zDUidkda0GoYHu2vMr3G2,1yVWpxBwkauwvn6AiOtmkU,4 days 15:48:52.000000000,4.0,18947,"['british contemporary classical', 'chamber psych', 'electra', 'etherpop', 'scottish electronic']",45
46,Anna Meredith,moonmoons,21,2019-08-22T14:42:00Z,2019-08-22,5zDUidkda0GoYHu2vMr3G2,0Ut4VRWZK0ucSft5d9cjMG,0 days 14:42:00.000000000,0.0,18947,"['british contemporary classical', 'chamber psych', 'electra', 'etherpop', 'scottish electronic']",45
47,Anna Meredith,Paramour - Edit,21,2019-07-12T16:34:11Z,2019-07-10,5zDUidkda0GoYHu2vMr3G2,6JJtqL7Tg3XD4xOYV1Sn2K,2 days 16:34:11.000000000,2.0,18947,"['british contemporary classical', 'chamber psych', 'electra', 'etherpop', 'scottish electronic']",45
48,Anna Meredith,Scrimshaw,19,2019-02-01T07:09:06Z,2016-03-04,5zDUidkda0GoYHu2vMr3G2,6nDFgUcidBnoj1sFe3ZgEg,1064 days 07:09:06.000000000,1064.0,18947,"['british contemporary classical', 'chamber psych', 'electra', 'etherpop', 'scottish electronic']",45
49,Anna Meredith,Anno / Four Seasons: Stoop (Spring),1,2018-07-17T03:21:49Z,2018-07-03,5zDUidkda0GoYHu2vMr3G2,0vCKE5aPpAtdGcvcfzuPg2,14 days 03:21:49.000000000,14.0,18947,"['british contemporary classical', 'chamber psych', 'electra', 'etherpop', 'scottish electronic']",45
