,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01
0,77.0,76.0,67.0,67.0,69.0,77.0,66.0,77.0,78.0,72.0,70.0,68.0,67.0,68.0,61.0,67.0,66.0,69.0,64.0,63.0,62.0,54.0,55.0,65.0,61.0,62.0,58.0,61.0,71.0,74.0,65.0,60.0,62.0,60.0,56.0,63.0,55.0,60.0,60.0,74.0,88.0,64.0,72.0,86.0,87.0,67.0,71.0,66.0,80.0,87.0,100.0,86.0,92.0,72.0,67.0,73.0,68.0,81.0,72.0,60.0,63.0,61.0,58.0,57.0,58.0,59.0,56.0,56.0,50.0,52.0,59.0,60.0,55.0,58.0,68.0,62.0,57.0,49.0,48.0,55.0,55.0,48.0,43.0,50.0,55.0,59.0,48.0,49.0,49.0,52.0,53.0,51.0,60.0,54.0,52.0
2,53.0,41.0,37.0,32.0,32.0,37.0,38.0,41.0,56.0,100.0,57.0,38.0,34.0,54.0,35.0,33.0,29.0,27.0,24.0,27.0,35.0,22.0,28.0,30.0,26.0,22.0,20.0,20.0,18.0,18.0,23.0,18.0,18.0,17.0,16.0,16.0,17.0,39.0,23.0,18.0,15.0,15.0,14.0,15.0,18.0,14.0,12.0,13.0,13.0,14.0,18.0,12.0,12.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,12.0,10.0,17.0,10.0,10.0,8.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,13.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
5,53.0,70.0,76.0,75.0,67.0,100.0,68.0,57.0,50.0,77.0,57.0,50.0,31.0,70.0,70.0,73.0,55.0,40.0,75.0,49.0,52.0,34.0,45.0,60.0,54.0,45.0,65.0,60.0,51.0,63.0,27.0,53.0,37.0,58.0,56.0,69.0,61.0,57.0,40.0,56.0,51.0,63.0,43.0,54.0,60.0,52.0,49.0,70.0,41.0,65.0,77.0,42.0,53.0,60.0,40.0,44.0,35.0,44.0,42.0,63.0,34.0,67.0,28.0,47.0,40.0,37.0,59.0,21.0,37.0,25.0,55.0,46.0,44.0,36.0,52.0,50.0,37.0,45.0,16.0,34.0,38.0,42.0,50.0,58.0,33.0,55.0,32.0,51.0,32.0,38.0,34.0,22.0,20.0,20.0,29.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,87.0,90.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,0.0,0.0
8,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,3.0,3.0,5.0,0.0,3.0,6.0,4.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,0.0,3.0,3.0,4.0,9.0,5.0,9.0,7.0,3.0,4.0,3.0,5.0,3.0,0.0,3.0,5.0,2.0,0.0,6.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,100.0,0.0,2.0,2.0,2.0,5.0,4.0,6.0,2.0,6.0,7.0,7.0,7.0,2.0,5.0,2.0,10.0,7.0,4.0,5.0,28.0,16.0,15.0,13.0,44.0,7.0,10.0,15.0,12.0,12.0,6.0,15.0,12.0,8.0,6.0,18.0,21.0,13.0,22.0,26.0,19.0
9,92.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,65.0,0.0,0.0,0.0,65.0,66.0,0.0,0.0,0.0,0.0,57.0,0.0,56.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,100.0,51.0,0.0,80.0,0.0,51.0,0.0,52.0,0.0,57.0,0.0,56.0,0.0,0.0,52.0,49.0,52.0,0.0,0.0,50.0,52.0,51.0,98.0,0.0,47.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,44.0,0.0,0.0,0.0,48.0,0.0,46.0,0.0,0.0,0.0,44.0,0.0,41.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26.0,26.0,26.0,28.0,36.0,49.0,26.0,21.0,24.0,24.0,22.0,23.0,20.0,21.0,23.0,25.0,28.0,43.0,21.0,21.0,23.0,23.0,20.0,17.0,17.0,17.0,21.0,22.0,25.0,34.0,23.0,20.0,20.0,16.0,17.0,17.0,15.0,19.0,18.0,21.0,25.0,29.0,19.0,22.0,19.0,21.0,24.0,24.0,22.0,21.0,22.0,23.0,27.0,29.0,33.0,63.0,26.0,23.0,21.0,21.0,55.0,41.0,55.0,75.0,79.0,78.0,87.0,76.0,100.0,59.0,82.0,44.0,45.0,50.0,42.0,28.0,35.0,48.0,29.0,29.0,29.0,29.0,29.0,27.0,26.0,26.0,30.0,30.0,33.0,39.0,27.0,27.0,30.0,29.0,25.0
14,25.0,30.0,39.0,53.0,49.0,45.0,37.0,41.0,48.0,45.0,51.0,50.0,57.0,48.0,51.0,53.0,46.0,53.0,40.0,45.0,46.0,37.0,49.0,45.0,45.0,42.0,44.0,42.0,40.0,43.0,40.0,45.0,43.0,40.0,59.0,48.0,45.0,43.0,42.0,61.0,43.0,35.0,34.0,34.0,32.0,47.0,62.0,78.0,75.0,49.0,67.0,66.0,53.0,43.0,39.0,44.0,36.0,35.0,48.0,44.0,39.0,31.0,34.0,30.0,28.0,24.0,27.0,27.0,25.0,27.0,32.0,30.0,43.0,25.0,34.0,29.0,26.0,100.0,29.0,35.0,42.0,34.0,52.0,88.0,38.0,33.0,33.0,37.0,33.0,26.0,27.0,33.0,26.0,35.0,35.0
15,100.0,36.0,20.0,23.0,18.0,28.0,28.0,27.0,44.0,85.0,75.0,79.0,79.0,50.0,29.0,25.0,22.0,28.0,34.0,44.0,47.0,59.0,34.0,33.0,29.0,36.0,25.0,23.0,18.0,16.0,17.0,36.0,18.0,16.0,19.0,20.0,18.0,19.0,16.0,17.0,11.0,10.0,16.0,14.0,14.0,14.0,18.0,13.0,16.0,16.0,11.0,11.0,9.0,11.0,11.0,13.0,11.0,14.0,13.0,9.0,13.0,12.0,12.0,10.0,10.0,7.0,6.0,8.0,7.0,9.0,7.0,7.0,7.0,8.0,7.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,9.0,6.0,4.0,7.0,7.0,6.0,5.0,6.0
