,Primary Artist,Track Name,Popularity,Added At,Release Date,Artist ID,Track ID,Playlist Date - Release Date,Days Until Discovery
0,Robert Glasper,Endangered Black Woman [Feat. Andra Day & Staceyann Chin],40,2019-10-03T19:16:47Z,2019-10-03,5cM1PvItlR21WUyBnsdMcn,6HMZPGvQxzFFhyMJLjNQnt,0 days 19:16:47.000000000,0.0
1,Danny Brown,3 Tearz,49,2019-10-02T12:28:42Z,2019-10-01,7aA592KWirLsnfb5ulGWvU,1BMdBu6UsVCyYZ8BvTdBtw,1 days 12:28:42.000000000,1.0
2,Archy Marshall,Arise Dear Brother,42,2019-10-03T17:33:27Z,2015-12-10,2pLvihTVAElhBCw7HcrIUC,26d3GcODYXIwjxspmIWHW0,1393 days 17:33:27.000000000,1393.0
3,The Midnight Hour,Harmony,35,2019-10-18T04:56:37Z,2019-10-18,1S5jf5XWhQTMjGZQxCH0AJ,4muWswJjEaNdXZS6bnNucA,0 days 04:56:37.000000000,0.0
4,"Lee ""Scratch"" Perry",Magik,20,2019-10-03T17:41:57Z,2019-10-02,1TsG4AumsMt1Tcq2nHpov9,6LVCbj6ha72ytZbhzaiWId,1 days 17:41:57.000000000,1.0
5,clipping.,Blood of the Fang - Single Edit,49,2019-10-03T17:10:55Z,2019-10-03,5HJ2kX5UTwN4Ns8fB5Rn1I,3lJ3qitpcQ7nh2UhYmImYo,0 days 17:10:55.000000000,0.0
6,Jakub Zytecki,"How to, Alice D",29,2019-10-15T17:54:30Z,2019-10-03,43EA0mCA9Iiw33kdPtMa1q,1L04RYGNSBmdhRHnObqZXo,12 days 17:54:30.000000000,12.0
7,Zoë Blade,Winter,14,2019-10-11T22:14:39Z,2019-10-10,4MaF9QDZ6zGTLM83lwyDRU,5LJmsfxm1Tp63ReJodfzJd,1 days 22:14:39.000000000,1.0
8,Datassette,To the Scullery,15,2019-10-04T19:57:02Z,2019-10-04,5bTaUOrBY8IWCwW12jCU5U,4Haio1ks6A2FoQdPWGUhoF,0 days 19:57:02.000000000,0.0
9,Anna Meredith,Inhale Exhale,23,2019-10-08T15:48:52Z,2019-10-04,5zDUidkda0GoYHu2vMr3G2,1yVWpxBwkauwvn6AiOtmkU,4 days 15:48:52.000000000,4.0
10,Lil Ugly Mane,Cakey Cakey,29,2019-10-04T20:30:38Z,2019-09-11,2gPLG9mGaU67woC5L0luYA,2qGIXomBtaasEMNNRtAGVK,23 days 20:30:38.000000000,23.0
11,Ariana Grande,blazed (feat. Pharrell Williams),62,2019-10-01T23:49:59Z,2018-08-17,66CXWjxzNUsdJxJ2JdwvnR,4mLkiFppf8Xvem6BSY34qw,410 days 23:49:59.000000000,410.0
12,Mahalia,I Wish I Missed My Ex,66,2019-09-30T17:57:17Z,2019-09-06,16rCzZOMQX7P8Kmn5YKexI,3f50PY0yOtMHo9BgCX9WRJ,24 days 17:57:17.000000000,24.0
13,Lizzo,Cuz I Love You,65,2019-10-03T21:15:48Z,2019-05-03,56oDRnqbIiwx4mymNEv7dS,5gkFxBuUuASmNtmq0T5xSu,153 days 21:15:48.000000000,153.0
14,Biddadat,The Parallel,4,2019-10-03T15:49:28Z,2019-06-28,7kxfOT7GGnh3TGhjF0CLvu,2Vg0ELjojr5kz8NxRZqegN,97 days 15:49:28.000000000,97.0
15,Sungazer,Drunk - Live,32,2019-10-03T17:18:25Z,2018-01-01,1uvnDqn7UvVy6orSq1E2YF,1msLIM7K6QWTeBDnooIlVk,640 days 17:18:25.000000000,640.0
16,Yazz Ahmed,Ruby Bridges,26,2019-10-15T18:27:12Z,2019-10-11,1srvW9AP2k4GLhS3hlC3IN,7bmVcP9nZxtJGFAxgNIsmE,4 days 18:27:12.000000000,4.0
17,IGBO,Something To Do,41,2019-10-15T18:26:40Z,2019-06-28,7IPimpFl8df3dGRlhuKKpm,6ZFuCHvdJbiuPrc5FTQ4Kz,109 days 18:26:40.000000000,109.0
18,Resavoir,Taking Flight,27,2019-10-03T17:33:16Z,2019-06-28,4Sl3fpSDeo9cMb3ouKm0rV,6z8QRU8XyAglbvNxr3BZHo,97 days 17:33:16.000000000,97.0
19,Giya Kancheli,Tune from the Film by Lana Gogoberidze: When Almonds Blossomed,42,2019-10-03T22:17:49Z,2014-05-16,7eZXdqPC0XYtALWzaVjGLh,0vqNv43ZdOMGwq6ZZiRBEH,1966 days 22:17:49.000000000,1966.0
20,Nuala,Lay Down My Gun - Brian Eno Mix,24,2019-09-30T18:01:06Z,2019-09-27,38l2utoHhvn7dvWk02FJRa,6nnoDrCq12ppUpZuSSBopZ,3 days 18:01:06.000000000,3.0
21,America,Head and Heart,30,2019-10-03T17:52:29Z,1972-01-01,35U9lQaRWSQISxQAB94Meo,3jblvPmAFtyURBVD2OcZ6c,17442 days 17:52:29.000000000,17442.0
22,Carpenters,(They Long To Be) Close To You,60,2019-10-03T16:31:21Z,1970,1eEfMU2AhEo7XnKgL7c304,50q2aUjWoTn6CJIfSPRJQA,18172 days 16:31:21.000000000,18172.0
23,Ben Monder,My One and Only Love,3,2019-10-22T17:17:27Z,2019-04-12,2CH9bD5RtnDcm9O23JByN7,2WoILWgDmo0bFmGF9zRiqz,193 days 17:17:27.000000000,193.0
24,Sandra Mogensen,"Piano Transcriptions of Original Songs, Op. 52: No. 4, Solveig's Song",0,2019-10-22T17:17:27Z,2009-12-16,6po5RkbjwlLugrHSrLxgEv,6rPdMaCjA08v96DXUKpcbQ,3597 days 17:17:27.000000000,3597.0
25,Paweł Szamburski,Vita in ligno moritur,11,2019-10-21T17:21:22Z,2019-03-30,1TEhUu0FjL0mIBiZPH90PI,4MLIMhcntZ1vF5zniAJ9rM,205 days 17:21:22.000000000,205.0
26,Dave Liebman,Blaizza,5,2019-10-22T17:17:27Z,2019-10-11,429bUEZe2Hq5QJvO2CmhLn,58qI0wpgpRcwiw0XxBOETB,11 days 17:17:27.000000000,11.0
27,Kate Davis,Daisy,34,2019-09-30T17:51:26Z,2019-09-26,4jXKRg7GZPm3mKGgKwUEco,5EdtjUe9kSJGfwRtghJWTJ,4 days 17:51:26.000000000,4.0
28,The Mysterons,Sold My Medicine,19,2019-10-03T22:29:02Z,2017-02-10,0VuoStDUmutuXoPuTnYeG1,7qBFdx38JTvNNfBw5PAFni,965 days 22:29:02.000000000,965.0
29,Georgia,Never Let You Go,45,2019-10-04T03:24:12Z,2019-09-19,06knYh538h5SI7OAEF8ek3,6H15f8zwZSiFE1iseSvkLT,15 days 03:24:12.000000000,15.0
30,Angel Olsen,Too Easy,55,2019-10-09T00:43:28Z,2019-10-04,6mKqFxGMS5TGDZI3XkT5Rt,7kFiu7h1Dlbx4DjQznA5MJ,5 days 00:43:28.000000000,5.0
31,Sarah Jarosz,When Doves Cry - Recorded At Spotify Studios NYC,61,2019-10-19T19:09:25Z,2017-07-19,6nFBonVf7Lqaj05R0v5VGJ,4LLTqpc4ywNrx89seBQi3w,822 days 19:09:25.000000000,822.0
32,Anna Wise,Count My Blessings,22,2019-10-11T13:02:54Z,2019-10-04,0N41KJ4H6bkPAm2tx7VS8C,6ZlcP4IxgrMJ4LFlVI6Uz1,7 days 13:02:54.000000000,7.0
33,D'Arcangelo,Pull Seven,14,2019-10-16T17:20:17Z,2018-03-02,3nEL9Ylglfn3CY6CbWZx11,51IDmDIBiIdusdssjXA2lO,593 days 17:20:17.000000000,593.0
34,Chong the Nomad,Undervelvet,27,2019-10-18T04:56:11Z,2019-10-18,586OHhbBhXRpOY8LezbUcK,3mVOWBNm6MFVIuAkOOq9tF,0 days 04:56:11.000000000,0.0
35,Emily King,Can't Hold Me - Machinedrum Remix,33,2019-10-04T19:55:05Z,2019-10-01,6jlWj6y00bMQt8XoKuCjyZ,3nUL30dEdPGlGCLEYdldZ9,3 days 19:55:05.000000000,3.0
36,Robert Glasper,Let Me In [Feat. Mick Jenkins],41,2019-10-03T18:55:23Z,2019-10-03,5cM1PvItlR21WUyBnsdMcn,2y91djz91Yeh9rnTRRSuL1,0 days 18:55:23.000000000,0.0
37,SULTAN KOPI SUSU,SVE_LVE_ (ft. Jackie Pomeroy),0,2019-10-04T20:24:41Z,,,,,
38,Run The Jewels,All My Life,47,2019-10-05T02:52:28Z,2014-10-24,4RnBFZRiMLRyZy0AzzTg2C,5eOWpFP7pTLQmISfx2RJpW,1807 days 02:52:28.000000000,1807.0
39,Danny Brown,Negro Spiritual,55,2019-10-05T16:05:19Z,2019-10-04,7aA592KWirLsnfb5ulGWvU,7gWp2hHJYtnLLvIw9ltH0V,1 days 16:05:19.000000000,1.0
40,Zenobia,La Fou - Up,12,2019-10-15T18:25:38Z,2019-04-12,1111ivBPyEwa1mdOB2SA0X,2t0uPgYIWpWyJSRKwOnYbs,186 days 18:25:38.000000000,186.0
41,Anna Wise,Juice,27,2019-10-18T04:54:35Z,2019-10-18,0N41KJ4H6bkPAm2tx7VS8C,6064SKkqlBoGBGvxhj1fzS,0 days 04:54:35.000000000,0.0
42,Lil Ugly Mane,Last Breath (Outroduction),28,2019-10-04T20:29:35Z,2012-02-11,2gPLG9mGaU67woC5L0luYA,2RnuhGKB97iAZIe7XzCpyf,2792 days 20:29:35.000000000,2792.0
43,Robert Glasper,"All I Do [Feat. SiR, Bridget Kelly, Song Bird]",43,2019-10-03T19:32:28Z,2019-10-03,5cM1PvItlR21WUyBnsdMcn,3UBsobFiVXbqZ1hFU16gBI,0 days 19:32:28.000000000,0.0
44,Chick Corea,Pastime Paradise - Live,28,2019-10-05T03:32:29Z,2019-10-04,5olDKSsFhhmwh8UCWwKtpq,1TXcICM8azGPw5A3rE8A2H,1 days 03:32:29.000000000,1.0
45,Hayajan,Ween El-Kalam,35,2019-10-10T19:05:23Z,2013-05-06,0ezquZkJscWDhtBZwptcKT,6ggyvXMDwARoo76Clvlngg,2348 days 19:05:23.000000000,2348.0
46,Sleepytime Gorilla Museum,The Companions,13,2019-10-06T19:33:02Z,2007-05-29,74KPeP60dRLSAAk7sFtWTC,1dR2YbzOHYedZVp4SNwInh,4513 days 19:33:02.000000000,4513.0
47,EOB,Santa Teresa,41,2019-10-04T19:56:58Z,2019-10-04,4CX6yOoTFQeiwL5yxuFuIG,05xWkYkbnLEKzzDOBRaQuh,0 days 19:56:58.000000000,0.0
48,a-ha,Crying in the Rain,61,2019-10-18T03:23:51Z,1990-10-27,2jzc5TC5TVFLXQlBNiIUzE,6c9nkeetGbsoXa7d5E1wHa,10583 days 03:23:51.000000000,10583.0
49,Deerhoof,Magic Star,34,2019-10-18T04:55:49Z,2019-10-15,7AZwAitWq1KcFoIJhRWb6V,4115wSH5FaGzNuQ7AUXqrL,3 days 04:55:49.000000000,3.0
50,Kneebody,The Trip,24,2019-10-18T04:55:08Z,2019-10-18,0rS1Y2DkDJhLiaR0MyJyCg,6HdTCKHiMlbmxNq1GCouqj,0 days 04:55:08.000000000,0.0
51,Crystal Beth,Dolphy,2,2019-10-15T18:26:55Z,2019-10-14,0vzIIaS5OpVYWPvJLzc95P,1LyDm9k0jv7rox90dKBIGi,1 days 18:26:55.000000000,1.0
