,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity
0,00sAr10UTV1JZtHqxsLVn4,Black Mountain,2018-04-13T22:23:09Z,2016-04-01,742.0,75732,"['garage rock', 'modern blues rock', 'neo-psychedelic', 'space rock', 'stoner rock', 'vancouver indie']",47
1,01C9OoXDvCKkGcf735Tcfo,Serge Gainsbourg,2013-10-18T23:27:23Z,1961,19283.0,280553,"['chanson', 'french rock']",62
2,01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,2017-03-03T23:18:18Z,2015-01-20,773.0,1265380,"['chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",71
3,01aC2ikO4Xgb2LUpf9JfKp,Gary Clark Jr.,2012-02-17T08:12:30Z,2010-03-29,690.0,606979,"['blues rock', 'electric blues', 'funk', 'garage rock', 'modern blues', 'modern blues rock', 'soul blues', 'texas blues']",65
4,029y4wr8YYFoqPBahe8Ddz,Common Market,2018-03-12T22:39:30Z,2008-03-01,3663.0,22098,"['conscious hip hop', 'underground rap']",40
5,02P4gB6B5XTZuZzRmt2jkE,David Dominique,2018-12-06T22:41:03Z,2018-11-09,27.0,77,[],0
6,02VSzyVA68par8UGNNRbAN,Quadro Nuevo,2012-04-08T09:54:34Z,2007-01-01,1924.0,8593,['tango'],37
7,02nqs3YdfX7Th3gYTYFrqc,Tōth,2019-08-12T16:25:32Z,2019-05-10,94.0,3044,[],41
8,02zPEtdzUWnPToEVLRiQ7e,Madison McFerrin,2018-02-06T19:02:14Z,2018-02-02,4.0,20563,"['a cappella', 'alternative r&b', 'indie jazz', 'indie soul', 'neo r&b']",46
9,039nrZBh4wbtnPl45PMDf3,Byron Westbrook,2017-12-01T19:34:14Z,2017-10-13,49.0,458,[],3
10,03WrOkxi8Ktm2tBYI1Z7vV,Michael Wycoff,2017-08-08T04:13:12Z,1997,7524.0,4148,"['post-disco', 'post-disco soul']",32
11,03r4iKL2g2442PT9n2UKsx,Beastie Boys,2012-05-21T04:47:10Z,1992-04-21,6573.0,1438451,"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap', 'rock']",72
12,04OLaofaY48dqKw0yj74y0,Warriors of the Dystotheque,2017-06-07T21:49:21Z,2017-06-02,5.0,371,[],5
13,04TCBTdI5BJzhOcvNsRyFK,Wildflower,2017-10-04T23:59:03Z,2017-06-28,98.0,694,[],16
14,053q0ukIDRgzwTr4vNSwab,Grimes,2019-09-06T16:22:31Z,2019-09-05,1.0,909211,"['alternative dance', 'art pop', 'canadian electropop', 'chamber pop', 'chillwave', 'dance pop', 'dream pop', 'electropop', 'escape room', 'grave wave', 'indie pop', 'indietronica', 'metropopolis', 'new rave']",70
15,058MysjRT4fJ9XKLqXcizq,Dexter Story,2016-09-28T22:36:56Z,2016-08-25,34.0,2806,"['ethio-jazz', 'indie jazz']",28
16,05BYEPhmF0YRqm7MKdu81V,Conlon Nancarrow,2018-11-15T07:41:27Z,1977-01-01,15293.0,4375,"['american contemporary classical', 'avant-garde', 'contemporary classical', 'free improvisation', 'laboratorio']",37
17,05E3NBxNMdnrPtxF9oraJm,Lester Young,2014-04-14T19:59:55Z,2010-01-01,1564.0,82991,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'stride', 'swing', 'vocal jazz']",52
