,index,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity,First Popularity Peak,Popularity When Discovered
0,0,00sAr10UTV1JZtHqxsLVn4,Black Mountain,2018-04-13T22:23:09Z,2016-04-01,742.0,75732,"['garage rock', 'modern blues rock', 'neo-psychedelic', 'space rock', 'stoner rock', 'vancouver indie']",47,2016-02-01,53.53333333333333
1,1,01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,2017-03-03T23:18:18Z,2015-01-20,773.0,1265380,"['chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",71,2012-09-01,10.0
2,2,02P4gB6B5XTZuZzRmt2jkE,David Dominique,2018-12-06T22:41:03Z,2018-11-09,27.0,77,[],0,2012-05-01,37.25806451612903
3,3,02nqs3YdfX7Th3gYTYFrqc,Tōth,2019-08-12T16:25:32Z,2019-05-10,94.0,3044,[],41,2015-11-01,53.935483870967744
4,4,02zPEtdzUWnPToEVLRiQ7e,Madison McFerrin,2018-02-06T19:02:14Z,2018-02-02,4.0,20563,"['a cappella', 'alternative r&b', 'indie jazz', 'indie soul', 'neo r&b']",46,2016-06-01,25.42857142857143
5,5,039nrZBh4wbtnPl45PMDf3,Byron Westbrook,2017-12-01T19:34:14Z,2017-10-13,49.0,458,[],3,2015-10-01,1.4516129032258065
6,6,04OLaofaY48dqKw0yj74y0,Warriors of the Dystotheque,2017-06-07T21:49:21Z,2017-06-02,5.0,371,[],5,,
7,7,04TCBTdI5BJzhOcvNsRyFK,Wildflower,2017-10-04T23:59:03Z,2017-06-28,98.0,694,[],16,2017-08-01,77.09677419354838
8,8,053q0ukIDRgzwTr4vNSwab,Grimes,2019-09-06T16:22:31Z,2019-09-05,1.0,909211,"['alternative dance', 'art pop', 'canadian electropop', 'chamber pop', 'chillwave', 'dance pop', 'dream pop', 'electropop', 'escape room', 'grave wave', 'indie pop', 'indietronica', 'metropopolis', 'new rave']",70,2018-05-01,35.0
9,9,058MysjRT4fJ9XKLqXcizq,Dexter Story,2016-09-28T22:36:56Z,2016-08-25,34.0,2806,"['ethio-jazz', 'indie jazz']",28,2011-12-01,13.066666666666666
10,10,05lIUgmmsmTX2N9dCKc8rC,Rival Consoles,2017-10-04T22:46:16Z,2016-08-05,425.0,70558,"['ambient', 'ambient idm', 'compositional ambient', 'drone', 'electronica', 'indietronica', 'intelligent dance music', 'microhouse', 'minimal techno', 'neo-classical']",55,2018-04-01,15.225806451612904
11,11,066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,2017-09-05T21:34:03Z,2017-09-01,4.0,660573,"['alternative dance', 'alternative rock', 'dance-punk', 'electronic rock', 'electronica', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave']",67,2017-09-01,90.66666666666667
12,12,069n4k5Ultxa6j838AJtGJ,Maxo,2016-02-04T01:41:21Z,2015-04-29,281.0,3487,"['hyperpop', 'kawaii future bass']",31,2019-07-01,30.379310344827587
13,13,06W84OT2eFUNVwG85UsxJw,Caroline Rose,2018-06-26T21:01:33Z,2018-02-23,123.0,27020,"['indie surf', 'new americana', 'vermont indie']",47,2018-02-01,58.4
14,14,06knYh538h5SI7OAEF8ek3,Georgia,2019-07-24T01:58:02Z,2018-11-01,15.0,21969,['uk alternative pop'],61,2013-07-01,66.7741935483871
15,15,075OzURxftv1bWToNH91E5,Ben Johnston,2018-10-04T18:40:35Z,2016-04-15,902.0,2151,"['american contemporary classical', 'contemporary classical', 'microtonal']",19,2017-12-01,43.41935483870968
16,16,07D1Bjaof0NFlU32KXiqUP,Lucy Dacus,2018-10-15T03:42:26Z,2018-03-02,227.0,87358,"['art pop', 'chamber pop', 'electropop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'new americana', 'stomp and holler']",64,2018-03-01,48.935483870967744
17,17,07UJz804RJxqNvxFXC3h9H,Sam Gellaitry,2017-02-15T23:10:09Z,2017-02-15,0.0,59799,"['electronic trap', 'scottish electronic', 'vapor soul', 'vapor twitch']",48,2015-12-01,55.892857142857146
18,18,07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid,2016-09-05T17:26:54Z,2016-02-19,199.0,259398,"['alternative r&b', 'chicago rap', 'deep pop r&b', 'hip hop', 'indie r&b', 'indie soul', 'neo soul', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",70,2016-02-01,22.833333333333332
19,19,09FKyu3X3nWAQDfidfHPyu,Daniel Thorne,2019-02-28T18:22:55Z,2019-02-12,16.0,543,[],11,2013-01-01,23.0
20,20,09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,2016-11-11T18:24:06Z,2016-11-11,0.0,1081818,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'rap']",71,2016-11-01,71.76666666666667
21,21,09xj0S68Y1OU1vHMCZAIvz,Café Tacvba,2017-09-22T20:53:35Z,2017-05-05,140.0,1739864,"['latin', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol']",75,2019-09-01,24.866666666666667
22,22,0AcvE4vSLoL8k0IYMJuAAN,Maisha,2018-11-01T16:33:34Z,2018-09-14,48.0,4629,"['british jazz', 'uk contemporary jazz']",27,2018-11-01,99.43333333333334
23,23,0AsgEBSM4Jl5cK5ZqkidCB,Hunter Gather,2017-09-22T02:33:56Z,2017-09-15,7.0,24,[],0,2014-07-01,47.333333333333336
24,24,0BxmFQFbzdxyrUlumvE7zz,Troyka,2018-03-12T22:10:02Z,2015-01-26,1141.0,1782,[],17,2012-12-01,26.548387096774192
25,25,0BzTIDnFI4pvhy7vVNd41Z,Omar,2014-03-13T19:26:25Z,2013-06-25,261.0,25038,"['acid jazz', 'broken beat', 'neo r&b', 'neo soul']",44,2011-12-01,50.58064516129032
26,26,0CDUUM6KNRvgBFYIbWxJwV,Dawes,2017-02-13T17:41:45Z,2013,623.0,176176,"['deep new americana', 'folk-pop', 'funk', 'indie folk', 'indie pop', 'indie rock', 'new americana', 'pop rock', 'roots rock', 'stomp and holler']",60,2012-07-01,42.75
27,27,0CNehpGYdxk87YYMiBpnyP,Holly Miranda,2017-02-23T20:28:36Z,2017-02-23,0.0,9614,['la indie'],36,2011-12-01,10.535714285714286
28,28,0CrPMe8paGt3kt8HLUPHsf,Ex Eye,2017-07-14T22:14:42Z,2017-06-23,21.0,4281,['progressive jazz fusion'],12,2013-10-01,38.483870967741936
29,29,0DA55Vzg7t4Vl2tKXspXjX,Midas 104,2019-06-22T22:01:46Z,2019-06-21,1.0,4982,['deep melodic euro house'],32,2016-03-01,16.133333333333333
30,30,0Dy94lW3txJhWQHqNXP1BT,Laura Mvula,2016-10-14T18:53:25Z,2016-06-17,119.0,107331,"['british soul', 'neo soul']",49,2013-02-01,27.258064516129032
31,31,0EEHriKw0Gzrmb2ZII2apY,Steve Monite,2017-11-30T17:23:58Z,2016-12-09,356.0,5399,"['afro-funk', 'indie soul']",48,2019-07-01,60.0
32,32,0EmUT6i9rTu9ZHy1Tl1iuX,Natalie Prass,2018-04-13T21:53:17Z,2018-02-26,17.0,40753,['rva indie'],51,2015-02-01,15.033333333333333
33,33,0FQt8Hdz5S1JE7By1rmVwb,Sonar,2018-04-04T19:21:26Z,2018-03-30,5.0,1048,[],24,2012-06-01,44.53333333333333
34,34,0FcNSKwWZJb98ry9M2qEII,Joey Alexander,2018-11-27T06:44:21Z,2015-05-12,1295.0,32062,['indonesian jazz'],51,2016-02-01,5.8
35,35,0HSqzRnAQMXxNQczzjopsG,Harriet Brown,2018-06-15T21:20:55Z,2018-01-01,165.0,2824,['art pop'],29,2015-02-01,23.5
36,36,0INatsTiEOX0EJimNTQjSM,Charlotte Dos Santos,2017-07-14T22:25:50Z,2017-06-21,23.0,29197,"['alternative r&b', 'indie jazz', 'indie soul', 'neo r&b']",45,2017-09-01,50.064516129032256
37,37,0IbWsSdsJyNM0I2cVMsl0K,Bendik Giske,2019-01-29T22:19:58Z,2019-01-25,4.0,1596,['experimental electronic'],22,2018-12-01,72.96774193548387
38,38,0IyuDlCVbMa3TAoVaDKEeL,Kendrick Scott Oracle,2016-03-25T05:10:07Z,2015-09-25,6.0,6166,"['contemporary jazz', 'uk contemporary jazz']",44,2013-04-01,20.451612903225808
39,39,0IzjeWBDWlNK2SYVdOyOAI,Heralds Of Change,2017-10-05T21:18:44Z,2017-09-29,6.0,682,[],19,2012-03-01,0.0
40,40,0J6PhnVD21GSFoJ9HoadLH,Milo,2015-07-17T01:25:26Z,2014-09-23,174.0,85926,"['alternative hip hop', 'escape room', 'milwaukee hip hop']",53,2017-02-01,30.35483870967742
41,41,0JA9lPlwRqMIx21WTi9pOj,Extraperlo,2019-08-26T16:53:16Z,2012-10-09,2512.0,2297,[],19,2012-12-01,19.35483870967742
42,42,0JGGxsAD1Eg4X9AcKNcxEB,Sierra Hull,2016-08-16T21:00:26Z,2016-01-01,228.0,18242,"['bluegrass', 'instrumental bluegrass', 'mandolin', 'progressive bluegrass']",37,2017-01-01,53.87096774193549
43,43,0JHqTL3vKYMjdjP7OMxdzX,Mistresses,2018-06-26T00:57:35Z,2018-05-22,35.0,108,[],1,2015-08-01,6.0
44,44,0JnhdXEQfVjoY1OgwTExwO,MUNYA,2018-11-30T20:37:08Z,2018-08-28,94.0,10008,['bedroom pop'],40,2013-05-01,4.0
45,45,0KfQj0nNgTWRxhj94iD5Z5,Roller Trio,2018-07-18T04:10:56Z,2018-06-22,26.0,1651,"['british jazz', 'progressive jazz fusion']",20,2012-09-01,5.451612903225806
46,46,0KydPQPUUoTNhmiHKOg5Er,Neon Indian,2018-09-07T00:14:08Z,2015-10-16,1057.0,257059,"['alternative dance', 'art pop', 'chillwave', 'dance-punk', 'denton tx indie', 'indie pop', 'indietronica', 'neo-synthpop', 'new rave', 'noise pop', 'nu gaze', 'shimmer pop']",56,2011-12-01,4.466666666666667
47,47,0LZac5VicY19QLaIUvIB0G,Cate le Bon,2019-05-24T05:10:50Z,2013-11-12,2019.0,48012,"['anti-folk', 'art pop', 'art rock', 'chamber pop', 'chamber psych', 'dream pop', 'experimental pop', 'folk-pop', 'freak folk', 'garage psych', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'neo-psychedelic', 'noise pop', 'singer-songwriter', 'slow core', 'welsh indie']",53,2019-10-01,47.70967741935484
48,48,0LhUDcQWIfiP624KorSrcB,STS,2018-02-06T23:11:36Z,2018-01-26,11.0,5829,[],47,2018-06-01,55.42857142857143
49,49,0Lpr5wXzWLtDWm1SjNbpPb,Todd Rundgren,2019-07-30T04:31:18Z,2017-05-12,809.0,149831,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'philly soul', 'power pop', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'symphonic rock', 'zolo']",59,2017-05-01,40.064516129032256
50,50,0M6xcJTswOl2qvExCJhiS3,Kronos Quartet,2017-12-07T17:33:30Z,2017-12-04,3.0,66429,"['bow pop', 'classical', 'classical performance', 'compositional ambient', 'experimental', 'modern performance', 'string quartet']",56,2012-01-01,35.645161290322584
51,51,0N41KJ4H6bkPAm2tx7VS8C,Anna Wise,2016-05-03T05:57:48Z,2016-02-03,0.0,40114,"['alternative r&b', 'escape room', 'indie r&b', 'indie soul']",59,2015-03-01,48.41935483870968
52,52,0NJ6wlOAsAJ1PN4VRdTPKA,Wardruna,2017-03-31T01:32:10Z,2013-03-25,1467.0,237489,"['medieval folk', 'nordic folk', 'rune folk', 'viking folk']",60,2016-10-01,58.0
53,53,0NP0rzWLJYLkclYCa7c3jw,Cuddle Magic,2017-12-04T01:19:37Z,2017-01-27,311.0,2264,['brooklyn indie'],15,2012-09-01,55.87096774193549
54,54,0NXGquUwII6z0ukB4xmvS7,r mccarthy,2018-12-05T21:18:42Z,2016-05-20,929.0,560,[],13,2015-04-01,40.25806451612903
55,55,0O9n1swkbCd1KqV2QrSVHl,Gazelle Twin,2017-06-22T22:20:12Z,2014-09-22,1004.0,15668,"['brighton indie', 'chillwave', 'electra', 'uk experimental electronic']",35,2015-04-01,30.46666666666667
